idx,x,y,z,yaw,q_x,q_y,q_z,q_w
100,-0.4184,-1.5785,46.8859,0.1644,6.102566366467463e-17,5.0267117423474796e-18,0.08209243262379443,0.996624719995399
110,-2.1146,-0.922,50.6575,0.1091,6.114120064821064e-17,3.3396167369761497e-18,0.05454008027949481,0.9985115821276719
120,-1.9794,-1.1708,50.1558,0.1426,6.107683985893128e-17,4.361088109761784e-18,0.07122197376089405,0.9974604906729901
130,-1.5656,-0.9505,47.9765,0.158,6.10412681757545e-17,4.833532471212316e-18,0.07893757570881024,0.9968795610008341
140,-0.2152,-2.1084,43.1037,0.1846,6.097160185070082e-17,5.644751935582237e-18,0.09218579494940636,0.9957418235715247
150,-1.0184,-0.3848,40.5723,0.1552,6.1048036410414e-17,4.747284180182367e-18,0.07752903422419609,0.9969900946610569
160,0.0839,-1.585,37.6295,0.182,6.097906767226813e-17,5.563520690676612e-18,0.09085918804589457,0.9958637496905088
170,0.3633,-1.5393,37.6219,0.1689,6.101400136426407e-17,5.16634243698813e-18,0.08437277491902381,0.9964342601759855
180,0.7681,-1.5796,37.6198,0.1548,6.104893514763624e-17,4.735712617373215e-18,0.0773400562622693,0.9970047721537489
190,1.0127,-1.5558,37.158,0.1548,6.104906011604373e-17,4.7341013510825894e-18,0.07731374228681535,0.9970068130427232
200,1.0126,-1.5507,37.5446,0.1589,6.10392374673005e-17,4.859109595917961e-18,0.07935528185434465,0.9968463970150152
210,0.965,-1.4487,36.4334,0.1524,6.10545768100511e-17,4.662414310227533e-18,0.07614300406408912,0.997096907492996
220,0.9053,-1.4345,36.4332,0.1534,6.105230262567734e-17,4.692099823890677e-18,0.07662780529304448,0.9970597672436549
230,0.6936,-1.4498,36.4737,0.1535,6.1052172297958e-17,4.693795303919093e-18,0.07665549458320711,0.9970576388304758
240,0.6042,-1.3439,37.1174,0.1457,6.107001777268158e-17,4.455601631541981e-18,0.0727654967071999,0.997349077549558
250,0.6472,-1.0082,37.9991,0.1561,6.104601983597711e-17,4.773145591759388e-18,0.07795138312667192,0.9969571615012546
260,0.3749,-0.682,38.8045,0.1546,6.104939754124606e-17,4.729748038272506e-18,0.07724264729333455,0.9970123236144662
270,-0.2302,-0.512,39.3325,0.1143,6.113230848197838e-17,3.498616343481806e-18,0.05713674091040256,0.9983663620325645
280,-0.2916,-0.6128,40.6457,0.0795,6.1184028509059e-17,2.4318947463453053e-18,0.03971585518434352,0.9992110141741716
290,-0.5341,-0.4683,40.6248,0.0665,6.119844783080036e-17,2.0370173674890456e-18,0.03326701819507954,0.9994464995688406
300,-1.2255,-0.4689,41.5173,0.0992,6.115697898020399e-17,3.0370015919541886e-18,0.04959799991423923,0.9987692618440495
310,-3.6994,0.644,43.4473,-0.0442,6.121741025250031e-17,-1.3520867692998952e-18,-0.022081252655725237,0.9997561794163387
320,-3.8572,0.5971,43.3704,-0.0448,6.121699558098814e-17,-1.3707329032035653e-18,-0.022385767131517804,0.9997494073166205
330,-0.9156,-0.9498,41.2816,0.0199,6.122930944189225e-17,6.091977705552341e-19,0.009948954604370522,0.9999505079264075
333610962_136057829195812_4907054719557410010_n,,,,,,
334742993_163895199851045_6846501712502692384_n,-12.0633,2.2574,157.4308,-0.0717,6.119302370311866e-17,-2.193924958653648e-18,-0.03582951362272198,0.9993579168413885
340,0.5836,-0.5334,42.0799,0.0567,6.120776904329744e-17,1.7344928356740878e-18,0.02832641765579609,0.9995987265211924
350,1.6764,-0.4465,43.2412,0.0511,6.121238577201779e-17,1.5631010051558482e-18,0.025527376648420426,0.9996741234229533
360,2.3407,-0.4431,42.6521,0.0514,6.121211184554343e-17,1.573791620046492e-18,0.025701967639032364,0.9996696498641352
370,1.7635,-0.5993,43.291,0.074,6.11904370537711e-17,2.264921593150949e-18,0.03698897665396873,0.9993156736517708
380,0.1407,-0.421,42.9019,0.0896,6.117095533291384e-17,2.741109321662548e-18,0.04476571242534607,0.9989975130054386
390,-1.945,-0.5905,43.0126,0.1248,6.111313462398962e-17,3.818930882428397e-18,0.06236787431424776,0.9980532291684258
400,-3.102,-0.7866,42.816,0.0716,6.119311365005781e-17,2.1914147178827615e-18,0.03578851827985848,0.999359385786381
410,-5.4864,0.3052,44.9026,-0.0776,6.118627129660669e-17,-2.3747971434819505e-18,-0.03878338056548838,0.9992476416744314
420,-5.1473,0.6025,45.8876,-0.07,6.119479181241158e-17,-2.1440409721482172e-18,-0.03501484629921022,0.9993867922574539
430,-2.7066,-0.5108,43.3994,0.06,6.120477915944841e-17,1.8369716105034734e-18,0.030000023056157,0.9995498980124156
440,-2.5364,-0.5257,43.9761,0.057,6.120746606508367e-17,1.7451517258611385e-18,0.028500490542680244,0.9995937785114646
450,-4.9353,0.7087,47.6618,-0.0617,6.120319573932169e-17,-1.8889912516792177e-18,-0.030849568267265415,0.9995240387993296
460,-5.064,0.6976,45.5544,-0.0678,6.119716354964619e-17,-2.0752421864692943e-18,-0.033891276863078544,0.999425525665915
470,-3.5764,-0.8421,45.9329,0.1189,6.112420960022969e-17,3.637369571796735e-18,0.059402753093042236,0.9982340972562334
480,-3.7599,-1.214,45.8611,0.1494,6.106158292722087e-17,4.569742561323534e-18,0.07462955955145871,0.997211326069432
490,-4.2667,-1.6574,46.2227,0.1879,6.096228131538798e-17,5.74453770795703e-18,0.09381542028210257,0.995589607678431
500,-5.0094,-1.8422,44.2583,0.2022,6.091960490051554e-17,6.180711562573192e-18,0.10093867990144496,0.9948926489324129
510,-5.5123,-1.8667,44.434,0.2133,6.088453656237917e-17,6.517105510804368e-18,0.1064324099869747,0.994319939508589
520,-6.0308,-1.9214,45.0811,0.2202,6.086145841163818e-17,6.729215159517382e-18,0.10989642342922912,0.9939430447050088
530,-5.9574,-1.9061,44.3785,0.2257,6.084270310470316e-17,6.896733688318503e-18,0.11263220861917539,0.9936367472983103
540,-6.0344,-1.9693,45.5419,0.2281,6.083458818467111e-17,6.967950707067161e-18,0.11379527079838073,0.9935042205969348
550,-6.089,-2.0398,45.2749,0.2251,6.084489115346624e-17,6.877403374638438e-18,0.1123165206396939,0.9936724808463767
560,-6.2884,-1.9959,45.2695,0.2316,6.082226551677386e-17,7.074706641388359e-18,0.1155387275141542,0.993302976158035
570,-6.707,-1.9918,46.335,0.2288,6.083203417318434e-17,6.990212801279744e-18,0.11415883838746979,0.9934625104240337
580,-7.03,-2.033,46.8004,0.2375,6.080104959299354e-17,7.254779462187812e-18,0.11847953985163513,0.9929564938286795
590,-7.1009,-2.0457,46.9084,0.2249,6.084550673071632e-17,6.871955132056622e-18,0.11222754408603598,0.993682533985788
60,,,,,,
600,-6.8977,-2.0105,47.2925,0.228,6.083499772507875e-17,6.964374232068941e-18,0.11373686252914407,0.9935109088993569
610,-6.2496,-2.0116,45.8541,0.1943,6.094369891571978e-17,5.938435747293985e-18,0.09698201557262968,0.9952861340616928
620,-8.1438,-0.4738,48.1034,-0.1288,6.110544689767018e-17,-3.940027422576396e-18,-0.06434553089624856,0.9979276790698212
630,-7.8124,-0.0261,48.908,-0.1217,6.111909051254e-17,-3.722395945434492e-18,-0.06079133915225466,0.998150496209903
640,-7.2369,0.0339,48.8896,-0.1063,6.114585983023698e-17,-3.2531957020222408e-18,-0.053128717672511656,0.9985876723445342
650,-5.8205,0.1101,50.4843,-0.075,6.11893440599084e-17,-2.29426026701379e-18,-0.03746811355912812,0.9992978237073874
660,-4.0503,0.472,49.536,-0.039,6.122068210803381e-17,-1.1947965859152308e-18,-0.01951250902296229,0.9998096128721854
670,-2.0018,0.6271,48.0444,-0.0017,6.123231750103324e-17,-5.2441465490585215e-20,-0.0008564341249590821,0.9999996332602276
680,-1.0148,0.7147,45.8937,0.0214,6.122884927059635e-17,6.538146933488488e-19,0.010677604249716083,0.9999429927588307
690,-0.4938,0.6117,44.6992,0.0373,6.122168954312638e-17,1.1420096933459013e-18,0.01865043364570116,0.999826065535815
70,7.4481,-0.3296,34.0923,-0.8964,5.518409526512827e-17,-2.6535166975617298e-17,-0.4333521631558114,0.901224668264345
700,-0.2142,0.8241,42.9336,0.0445,6.121715599458996e-17,1.363549994934034e-18,0.022268461337316043,0.9997520270695474
710,-0.0686,0.7481,43.3295,0.0495,6.121355423290658e-17,1.5166525078775098e-18,0.024768815121771637,0.9996932058374028
720,-0.0473,0.6754,43.1665,0.0469,6.121552709982865e-17,1.4348165544033163e-18,0.023432332577887623,0.9997254251993193
730,-0.1674,0.7829,43.0148,0.0457,6.121636440900527e-17,1.3986369073200867e-18,0.022841474101657263,0.9997390994958952
740,-0.6919,0.7452,43.3404,0.0316,6.12246941732444e-17,9.676156506271153e-19,0.015802362792289287,0.9998751348694401
750,-1.8972,0.7429,42.6843,0.0022,6.123230393983926e-17,6.641440950497525e-20,0.0010846296181268842,0.9999994117891228
760,-3.1587,0.6828,43.4815,-0.0286,6.122608462789265e-17,-8.752244242324757e-19,-0.014293499559903167,0.9998978427171105
770,-4.078,0.6528,43.318,-0.0519,6.121174647174873e-17,-1.5879390835298033e-18,-0.02593301325141891,0.9996636828572407
780,-4.7901,0.5314,44.207,-0.067,6.119796422600857e-17,-2.0514948810127173e-18,-0.03350345393367374,0.9994386017032334
790,-5.4608,0.3984,43.0641,-0.0824,6.118041548666507e-17,-2.521154008322061e-18,-0.04117356955617549,0.9991520090406679
80,2.3628,0.4982,35.8224,0.2316,6.082230826687372e-17,7.074339102985426e-18,0.11553272515652444,0.9933036743201481
800,-4.0657,-0.9863,42.712,0.1383,6.108598276870348e-17,4.231095110760905e-18,0.06909902697997101,0.9976098057208646
810,-3.9123,-1.5898,42.9426,0.1668,6.101944031359184e-17,5.101701723018193e-18,0.08331711194721933,0.996523084959287
820,-3.6422,-1.762,41.4529,0.168,6.101642624253529e-17,5.137624474783461e-18,0.08390377500452335,0.996473861443435
830,-4.9856,-0.5133,42.3947,-0.0127,6.123111272097937e-17,-3.876746127404161e-19,-0.006331206891821059,0.9999799577087999
840,-3.6178,-1.9437,41.9969,0.1963,6.093765347225803e-17,6.000153827164907e-18,0.09798994830742133,0.9951874044775227
850,-3.8121,-1.9198,41.7424,0.1992,6.09288242117183e-17,6.0891573170818506e-18,0.09944348560452465,0.9950432117103368
860,-3.8079,-2.0042,41.8389,0.1906,6.095444545640347e-17,5.8270949672179835e-18,0.09516368264343701,0.995461638389817
870,-3.7648,-2.006,41.2526,0.1932,6.094685765862118e-17,5.905929071231014e-18,0.09645114126526852,0.9953377202480708
880,-3.6308,-1.9545,41.6729,0.1985,6.09308871642101e-17,6.0684797138114435e-18,0.09910579471626522,0.9950769022812546
890,-3.3768,-1.8785,40.6529,0.1944,6.094325785655917e-17,5.942960414101822e-18,0.09705590898926192,0.995278931018972
90,0.187,0.0114,42.5481,0.1618,6.103219238031779e-17,4.9468120953320054e-18,0.0807875723641489,0.9967313420132363
900,-3.0562,-1.629,38.8124,0.1893,6.095815904177487e-17,5.788117387572855e-18,0.09452713046084418,0.9955222858413759
910,-4.6671,-0.3339,38.1924,-0.0321,6.122444494765888e-17,-9.832586158951417e-19,-0.016057831802275147,0.9998710647067501
920,-3.1069,-1.6589,37.2068,0.1877,6.096276601318977e-17,5.7393916642549074e-18,0.09373137901068121,0.9955975233942458
930,-3.2448,-1.6231,37.2212,0.1744,6.0999762113177e-17,5.331836343180455e-18,0.08707549551254594,0.9962017155582721
940,-2.7529,-1.4434,36.83,0.154,6.105102319588927e-17,4.708717807390186e-18,0.07689919755914242,0.9970388725695503
950,-0.7418,-1.1055,35.2054,0.1015,6.115357281774842e-17,3.1048330517091693e-18,0.05070577171917446,0.9987136349897117
960,1.7264,-0.4909,30.4212,0.0548,6.120934825433522e-17,1.677838768819967e-18,0.027401186529669514,0.9996245169946396
970,3.951,-0.0867,23.5797,0.0106,6.123147731099412e-17,3.2502764168161694e-19,0.005308104212707106,0.9999859119155966
