idx,x,y,z,rx,ry,rz,rw
0,-2.528639793395996,-8.848487854003906,0.5542935132980347,0.0,0.0,-0.013381201015836851,0.9999104677216725
0,-1.568353295326233,-8.795933723449707,0.5101854205131531,0.0,0.0,-0.023846898713044056,0.9997156222755398
0,-0.6124476194381714,-8.750195503234863,0.588226318359375,0.0,0.0,-0.0007734595958087903,0.999999700880082
0,-0.2024664729833603,-8.706534385681152,0.5916464924812317,0.0,0.0,0.003754547357915776,0.999992951662229
10,5.619019985198975,-8.533438682556152,0.5090838670730591,0.0,0.0,0.017223936931713618,0.9998516569954626
20,12.394882202148438,-7.955964088439941,0.7790585160255432,0.0,0.0,0.023809725285749657,0.9997165083071387
30,19.98641586303711,-7.075201988220215,0.8141679167747498,0.0,0.0,0.03203179289122851,0.9994868504608619
40,27.134000778198242,-6.032671928405762,1.0655677318572998,0.0,0.0,0.011077381421430107,0.9999386439281382
50,35.674041748046875,-4.792170524597168,1.66204035282135,0.0,0.0,0.03190854136734513,0.9994907928479424
60,42.591026306152344,-3.1466729640960693,2.0156612396240234,0.0,0.0,0.04153455365544272,0.9991370681005901
60,43.225311279296875,-2.8264548778533936,1.9910361766815186,0.0,0.0,0.020766918493931336,0.9997843442944415
70,48.46046829223633,-1.215590238571167,2.513176918029785,0.0,0.0,0.09230683278495525,0.9957306104671134
80,51.25358581542969,-0.507779598236084,3.243187665939331,0.0,0.0,0.08935740395404687,0.9959996256819544
90,51.480918884277344,-0.4123501479625702,3.6094284057617188,0.0,0.0,0.10457539950426425,0.9945169610512048
100,49.2766227722168,-0.950258731842041,3.130833625793457,0.0,0.0,0.0918650210528824,0.995771468715063
100,48.800079345703125,-0.9138566851615906,3.0387353897094727,0.0,0.0,0.10468042441657309,0.9945059118697919
110,44.79364776611328,-1.2708971500396729,2.8112049102783203,0.0,0.0,0.17026925846019716,0.9853975743949315
110,44.3776969909668,-1.1255435943603516,2.8944945335388184,0.0,0.0,0.09174049857033278,0.9957829487002008
120,41.05785369873047,-1.315898060798645,2.540208339691162,0.0,0.0,0.08214040732612622,0.9966207671347703
130,39.36260986328125,-1.3922313451766968,2.353527784347534,0.0,0.0,0.07389069465238562,0.9972663461903184
140,38.93205642700195,-1.6598167419433594,2.480746030807495,0.0,0.0,0.06969430078090304,0.997568395870008
140,39.13520050048828,-1.6238245964050293,2.5185108184814453,0.0,0.0,0.07440519734498205,0.9972280915658435
150,38.99387741088867,-2.009514093399048,2.415703058242798,0.0,0.0,0.06270315094771842,0.9980322213542144
150,38.97652816772461,-2.1368024349212646,2.474172830581665,0.0,0.0,0.0585977815251581,0.9982816736774897
160,38.69373321533203,-2.2723724842071533,2.606006145477295,0.0,0.0,0.07462347942338352,0.9972117810769926
170,38.507598876953125,-2.2140486240386963,2.559358596801758,0.0,0.0,0.09141814605703705,0.9958125941016684
180,38.387107849121094,-2.163367986679077,2.217071771621704,0.0,0.0,0.0974733785407099,0.9952381325471102
190,38.043296813964844,-2.1630699634552,2.233639717102051,0.0,0.0,0.07730224662234311,0.9970077044171416
200,38.36731719970703,-1.9646483659744263,2.1911368370056152,0.0,0.0,0.071036034873447,0.9974737499049579
200,38.52265167236328,-1.9669303894042969,2.314903974533081,0.0,0.0,0.08557752463641805,0.9963315147465241
210,38.80974197387695,-1.8104444742202759,2.2785987854003906,0.0,0.0,0.06775472090241913,0.9977020085152858
220,39.125118255615234,-1.9248347282409668,1.9559102058410645,0.0,0.0,0.07949923278150237,0.9968349271505049
230,39.541500091552734,-1.7345919609069824,1.5877766609191895,0.0,0.0,0.06406695858662236,0.997945602133433
240,40.1226692199707,-1.1402579545974731,1.2979555130004883,0.0,0.0,0.05009254859237878,0.9987445802483838
240,40.24057388305664,-1.0454829931259155,1.3018827438354492,0.0,0.0,0.024930388028197952,0.9996891895748216
250,41.25039291381836,-1.0359231233596802,1.5848244428634644,0.0,0.0,0.017162463828565726,0.9998527140710941
260,41.77974319458008,-0.8392180800437927,1.3908429145812988,0.0,0.0,0.033750984967885735,0.9994302732125426
260,41.82398986816406,-0.7923813462257385,1.3296624422073364,0.0,0.0,0.02146878356750135,0.9997695191053445
270,42.27298355102539,-0.19075626134872437,1.2902793884277344,0.0,0.0,0.028063777115840145,0.9996061346420361
280,42.345489501953125,0.3684958815574646,1.4030190706253052,0.0,0.0,0.026024091000963114,0.9996613159903576
280,42.37199783325195,0.4770198464393616,1.3691030740737915,0.0,0.0,0.04360228095242888,0.9990489683172419
290,42.54750061035156,0.6183621883392334,1.5038204193115234,0.0,0.0,0.04108206412183093,0.9991557756463653
290,42.606224060058594,0.6201945543289185,1.431888222694397,0.0,0.0,0.017603832849271167,0.9998450405282885
300,42.5754508972168,-0.20412692427635193,1.8278441429138184,0.0,0.0,0.004805048132385895,0.9999884556895872
310,42.708457946777344,-1.9033167362213135,1.4124168157577515,0.0,0.0,0.0002403659722905273,0.9999999711120993
320,42.930152893066406,-2.940845012664795,1.3217380046844482,0.0,0.0,0.012543872703251042,0.9999213225337305
330,43.335269927978516,-3.7184572219848633,1.2949377298355103,0.0,0.0,0.012548793424403053,0.9999212607918644
350,44.007572174072266,-1.6424530744552612,1.297408938407898,0.0,0.0,0.01611622685032326,0.9998701251823203
360,44.24421310424805,0.37199145555496216,1.3999111652374268,0.0,0.0,0.05271528256830522,0.998609582861963
370,44.694602966308594,1.9935024976730347,1.5781166553497314,0.0,0.0,0.047417433332976,0.9988751608765295
380,44.89872741699219,2.2177579402923584,1.8650609254837036,0.0,0.0,0.04617951380309146,0.9989331571756491
390,45.16105651855469,1.6608796119689941,1.605383038520813,0.0,0.0,0.005313615455500184,0.9999858826457457
400,45.4150505065918,1.410962462425232,1.3693952560424805,0.0,0.0,0.02975787439486718,0.9995571363916619
400,45.398555755615234,1.2820076942443848,1.4356985092163086,0.0,0.0,0.03175493612170794,0.9994956848490674
410,45.78221130371094,1.1572158336639404,1.5434547662734985,0.0,0.0,-0.0014851461525870443,0.9999988971698446
420,46.05388641357422,1.498838186264038,1.5105513334274292,0.0,0.0,0.005734320968065479,0.9999835586463586
430,46.18258285522461,1.8620686531066895,1.576520323753357,0.0,0.0,0.04118493655619009,0.9991515405587196
440,46.61040496826172,2.0096774101257324,1.6487956047058105,0.0,0.0,0.03434681238649756,0.9994099741742059
450,46.8032112121582,2.354067802429199,2.131330966949463,0.0,0.0,0.047731770897814406,0.9988601894394222
450,46.761497497558594,2.3410134315490723,2.207969903945923,0.0,0.0,0.08169211258062681,0.9966576135976257
460,46.61090850830078,2.732658863067627,2.47601318359375,0.0,0.0,0.03392638288703142,0.9994243345767615
470,46.745662689208984,3.7593557834625244,2.5641512870788574,0.0,0.0,0.0851009497504337,0.9963723341961951
480,46.443084716796875,4.3541975021362305,2.9663596153259277,0.0,0.0,0.09304347659516024,0.9956620468126149
490,46.65129470825195,4.714144706726074,2.806774854660034,0.0,0.0,0.10042082041639944,0.9949450531697202
500,46.775821685791016,4.5976691246032715,2.799199342727661,0.0,0.0,0.04229497276922927,0.9991051672764235
500,46.822113037109375,4.6259236335754395,2.741877555847168,0.0,0.0,0.08132494440288539,0.9966876408473557
510,46.71664047241211,4.513761043548584,2.7394630908966064,0.0,0.0,0.09669400669305739,0.9953141559676738
520,46.89736557006836,4.791701316833496,2.8766326904296875,0.0,0.0,0.08685839442922126,0.9962206679833429
520,46.77284240722656,4.786999702453613,2.7601163387298584,0.0,0.0,0.0677766198569763,0.9977005210987728
530,46.79243469238281,4.860503196716309,2.6844215393066406,0.0,0.0,0.09174079533677336,0.9957829213593574
540,47.07616424560547,5.088827133178711,2.8928990364074707,0.0,0.0,0.1138410115312137,0.9934989804189787
540,47.160343170166016,5.144115447998047,2.9627394676208496,0.0,0.0,0.06479605183995715,0.9978985277401473
550,47.44236755371094,5.404991149902344,2.719876766204834,0.0,0.0,0.07408502304664732,0.9972519287322426
560,47.86801528930664,5.581585884094238,2.9809439182281494,0.0,0.0,0.09620777946474766,0.9953612726897015
570,48.11316680908203,5.294301509857178,2.8422622680664062,0.0,0.0,0.0800835308070981,0.9967881560760383
580,47.905399322509766,4.748193740844727,2.599910259246826,0.0,0.0,0.06533035329693278,0.9978636905600373
590,47.91312026977539,4.714609622955322,2.5301201343536377,0.0,0.0,0.06308060116428425,0.998008435714224
600,48.42666244506836,4.078258991241455,1.969124436378479,0.0,0.0,-0.016288305220430014,0.999867336756755
600,48.430274963378906,4.137234210968018,2.1605231761932373,0.0,0.0,0.02433215013737642,0.9997039294059478
610,49.30674362182617,3.88972544670105,1.9988232851028442,0.0,0.0,0.07020721330043472,0.9975324291473372
620,50.37167739868164,2.112511157989502,1.9214541912078857,0.0,0.0,0.03187143773059478,0.999491976684648
630,49.01175308227539,0.6941852569580078,1.6161472797393799,0.0,0.0,-0.004240947169946824,0.9999910071431152
640,47.353790283203125,-1.2186505794525146,1.4201115369796753,0.0,0.0,-0.010734530751780094,0.9999423832649255
650,45.58677673339844,-2.305328845977783,1.2776423692703247,0.0,0.0,-0.03946396833584137,0.9992209941765574
660,44.42569351196289,-2.8174283504486084,1.4024271965026855,0.0,0.0,-0.013859126321880832,0.999903957696735
670,43.65081024169922,-2.945700168609619,1.2167637348175049,0.0,0.0,-0.027646564998312737,0.9996177606684438
690,43.23397445678711,-3.0353806018829346,1.4424866437911987,0.0,0.0,-0.005238717673943469,0.9999862778244173
700,43.20954513549805,-2.917668342590332,1.279897689819336,0.0,0.0,-0.0006871327682778682,0.9999997639242515
710,42.94904327392578,-2.641019105911255,1.276062250137329,0.0,0.0,-0.043117592672485626,0.9990700041549289
710,43.266883850097656,-2.3815977573394775,1.3676011562347412,0.0,0.0,-0.025238158456979756,0.9996814669471973
720,43.27109146118164,-1.324137568473816,1.3970180749893188,0.0,0.0,0.015542277177451713,0.9998792115151406
730,43.12471008300781,-0.12718448042869568,1.3947045803070068,0.0,0.0,0.0317288163786472,0.9994965143567085
750,43.2553596496582,1.2926583290100098,1.567916750907898,0.0,0.0,0.009708567737307066,0.9999528707456617
760,43.360740661621094,2.2553231716156006,1.6679123640060425,0.0,0.0,0.04909677607136533,0.9987940261031792
770,43.27123260498047,2.7248423099517822,1.8714251518249512,0.0,0.0,0.06047041314386564,0.9981699900989862
780,43.230648040771484,2.6335980892181396,2.446880340576172,0.0,0.0,0.06901863673140395,0.9976153706633326
780,43.186370849609375,2.524641513824463,2.3490264415740967,0.0,0.0,0.07170092361759164,0.9974261764924682
790,43.13616180419922,2.3530874252319336,2.6472818851470947,0.0,0.0,0.09549760443858495,0.9954296597683292
790,43.13478088378906,2.463212251663208,2.453887701034546,0.0,0.0,0.08778263406030018,0.9961396534409397
810,43.154083251953125,2.2162363529205322,2.598153591156006,0.0,0.0,0.07437584166615463,0.997230281417713
820,42.827632904052734,2.4091501235961914,2.6219043731689453,0.0,0.0,0.0974699750083588,0.9952384658823582
830,42.73203659057617,2.498208999633789,2.7084991931915283,0.0,0.0,0.08013666095095302,0.9967838860914797
840,42.68758010864258,2.6016552448272705,2.8289177417755127,0.0,0.0,0.11027334022120411,0.9939012981360164
850,42.18687438964844,2.1212587356567383,2.6499173641204834,0.0,0.0,0.08213298934590423,0.9966213784888951
850,42.33894348144531,2.1724512577056885,2.6675257682800293,0.0,0.0,0.07011284639684494,0.9975390662876981
860,41.45033645629883,2.0744376182556152,2.638535976409912,0.0,0.0,0.10342980113615192,0.9946367559249638
860,41.48262405395508,1.9516735076904297,2.546542167663574,0.0,0.0,0.07320632494343197,0.9973168172593284
870,40.283267974853516,1.7419148683547974,2.5339670181274414,0.0,0.0,0.07104788852334513,0.9974729056652989
880,39.43836212158203,1.8119746446609497,2.461973190307617,0.0,0.0,0.07045922938323969,0.9975146600400017
890,38.822200775146484,1.805662989616394,2.2620110511779785,0.0,0.0,0.057356616845120924,0.9983537541894065
910,38.117462158203125,1.5536099672317505,2.174563407897949,0.0,0.0,0.06947149607909366,0.9975839369359014
940,25.441986083984375,-4.750118732452393,0.8631046414375305,0.0,0.0,-7.748603820723242e-06,0.9999999999699796
940,25.001611709594727,-4.829285144805908,0.9877692461013794,0.0,0.0,-0.0071461188528321356,0.9999744661666823
950,16.563688278198242,-6.405263900756836,0.8569106459617615,0.0,0.0,-0.023673825897751806,0.9997197357096452
960,8.112711906433105,-6.145594120025635,0.5981053709983826,0.0,0.0,0.058523180447585,0.9982860498626129
960,7.739938259124756,-6.067092418670654,0.7294537425041199,0.0,0.0,-0.008897276550693308,0.9999604184516407
970,-0.3084438443183899,-4.80521821975708,0.5809863209724426,0.0,0.0,-0.011562179190541217,0.9999331557721075
980,-10.132370948791504,-4.173068046569824,0.5005560517311096,0.0,0.0,-0.032785023228087545,0.9994624266334047
990,-18.97747802734375,-3.5857434272766113,0.39275094866752625,0.0,0.0,-0.03011948261617988,0.9995463054641008
1000,[],[],[],[],[],[],[]
1010,[],[],[],[],[],[],[]
1010,29.577301025390625,-15.5859956741333,2.348237991333008,0.0,0.0,0.0788634506901493,0.9968854277926037
1020,-44.47911834716797,-2.8472440242767334,0.21297147870063782,0.0,0.0,0.02596159244012697,0.9996629410546201
1020,[],[],[],[],[],[],[]
1030,[],[],[],[],[],[],[]
1030,[],[],[],[],[],[],[]
